,author,title,year,Categories Y-Yes; N-No; TBC-to be confirmed with full-text reading,Reason,Data encoding status,Note,
120,"Decker, KL and Conway, CJ and Fontaine, JJ","Nest predation, food, and female age explain seasonal declines in clutch size",2012,N,Not trans-generational,,,
121,"Tarof, SA and Kramer, PM and Tautin, J and Stutchbury, BJM",Effects of known age on male paternity in a migratory songbird,2012,N,Not trans-generational,,,
122,"Bronikowski, AM",The evolution of aging phenotypes in snakes: a review and synthesis with new data,2008,N,Not bird,,,
123,"Daval, NP and Gardette, V and Joly, P","Age, courtship and senescence: sexual ornaments are larger in older great crested newts",2018,N,Not bird,,,
124,"Cooper, EB and Bonnet, T and Osmond, H and Cockburn, A and Kruuk, LEB",Do the ages of parents or helpers affect offspring fitness in a cooperatively breeding bird?,2020,TBC - Y,,Y,,
125,"Elliott, KH and Le Vaillant, M and Kato, A and Gaston, AJ and Ropert-Coudert, Y and Hare, JF and Speakman, JR and Croll, D",Age-related variation in energy expenditure in a long-lived bird within the envelope of an energy ceiling,2014,N,Not trans-generational,,,
126,"Amat, JA and Carrascal, LM and Moreno, J",Nest defence by chinstrap penguins Pygoscelis antarctica in relation to offspring number and age,1996,N,Not trans-generational,,,
127,"Boves, TJ and Fairhurst, GD and Rushing, CS and Buehler, DA","Feather corticosterone levels are related to age and future body condition, but not to subsequent fitness, in a declining migratory songbird",2016,N,Not trans-generational,,,
128,"Barks, PM and Laird, RA",Parental Age Effects and the Evolution of Senescence,2020,N,Not bird,,,
129,"Thorley, J and Duncan, C and Sharp, SP and Gaynor, D and Manser, MB and Clutton-Brock, T",Sex-independent senescence in a cooperatively breeding mammal,2020,N,Not bird,,,
130,"Scordato, ESC and Bontrager, AL and Price, TD",Cross-Generational Effects of Climate Change on Expression of a Sexually Selected Trait,2012,N,Not ageing,,,
131,"Millon, A and Petty, SJ and Little, B and Lambin, X",Natal conditions alter age-specific reproduction but not survival or senescence in a long-lived bird of prey,2011,N,Not trans-generational,,,
132,"Ancona, S and Liker, A and Carmona-Isunza, MC and Szekely, T",Sex differences in age-to-maturation relate to sexual selection and adult sex ratios in birds,2020,N,Not trans-generational,,,
133,"Wittemyer, G and Daballen, D and Douglas-Hamilton, I",Differential influence of human impacts on age-specific demography underpins trends in an African elephant population,2021,N,Not bird,,,
134,"Reznick, D and Bryant, M and Holmes, D",The evolution of senescence and post-reproductive lifespan in guppies (Poecilia reticulata),2006,N,Not bird,,,
135,"Zajitschek, F and Zajitschek, S and Bonduriansky, R",Senescence in wild insects: Key questions and challenges,2020,N,Not bird,,,
136,"Valcu, M and Dale, J and Griesser, M and Nakagawa, S and Kempenaers, B",Global gradients of avian longevity support the classic evolutionary theory of ageing,2014,N,Not trans-generational,,,
137,"Trumbo, ST",Carcass Age and Reproductive Costs for Nicrophorus orbicollis (Coleoptera: Silphidae),2016,N,Not bird,,,
138,"Proaktor, G and Milner-Gulland, EJ and Coulson, T",Age-related shapes of the cost of reproduction in vertebrates,2007,N,Not trans-generational,,,
139,"Wilbourn, RV and Froy, H and McManus, MC and Cheynel, L and Gaillard, JM and Gilot-Fromont, E and Regis, C and Rey, B and Pellerin, M and Lamaitre, JF and Nussey, DH",Age-dependent associations between telomere length and environmental conditions in roe deer,2017,N,Not bird,,,
140,"Sultanova, Z and Garcia-Roa, R and Carazo, P",Condition-dependent mortality exacerbates male (but not female) reproductive senescence and the potential for sexual conflict,2020,N,Not trans-generational,,,
141,"Bonduriansky, R and Brassil, CE",Reproductive ageing and sexual selection on male body size in a wild population of antler flies (Protopiophila litigata),2005,N,Not bird,,,
142,"Cholewa, M and Jankowiak, L and Szenejko, M and Dybus, A and Smietana, P and Wysocki, D",The effects of parental age difference on the offspring sex and fitness of European blackbirds,2021,TBC - Y,,Y,,
143,"Woestmann, L and Saastamoinen, M",The importance of trans-generational effects in Lepidoptera,2016,N,Not bird,,,
144,"Myers, EM and Harwell, TI and Yale, EL and Lamb, AM and Frankino, WA","Multifaceted, Cross-Generational Costs of Hybridization in Sibling Drosophila species",2013,N,Not bird,,,
145,"Vijg, J and Le Bourg, E",Aging and the Inevitable Limit to Human Life Span,2017,N,Not bird,,,
146,"Patterson, EM and Krzyszczyk, E and Mann, J",Age-specific foraging performance and reproduction in tool-using wild bottlenose dolphins,2016,N,Not bird,,,
147,"Ardia, DR and Clotfelter, ED",Individual quality and age affect responses to an energetic constraint in a cavity-nesting bird,2007,N,Not trans-generational,,,
148,"Lloyd, KJ and Oosthuizen, WC and Bester, MN and de Bruyn, PJN",Trade-offs between age-related breeding improvement and survival senescence in highly polygynous elephant seals: Dominant males always do better,2020,N,Not bird,,,
149,"MARTIN, TE",NEST PREDATION AND NEST SITES - NEW PERSPECTIVES ON OLD PATTERNS,1993,N,Not trans-generational,,,
150,"Nussey, DH and Coulson, T and Delorme, D and Clutton-Brock, TH and Pemberton, JM and Festa-Bianchet, M and Gaillard, JM",Patterns of body mass senescence and selective disappearance differ among three species of free-living ungulates,2011,N,Not bird,,,
151,"Edelfeldt, S and Lindell, T and Dahlgren, JP",Age-Independent Adult Mortality in a Long-Lived Herb,2019,N,Not bird,,,
